time,minx,maxx,miny,maxy,G1x,G1y,G2x,G2y,HAx,HAy,HOx,HOy
1467918411600,529.5,582.5,-54.5,423,529.5,423,550.6037787107493,375.47494845739016,582.5,-54.5,529.5,-54.5
1467918419308,400.6675055888751,582.5,-54.5,375.47494845739016,400.6675055888751,365.8761581384638,550.6037787107493,375.47494845739016,582.5,-54.5,529.5,-54.5
1467918430715,400.6675055888751,582.5,-54.5,375.47494845739016,400.6675055888751,365.8761581384638,550.6037787107493,375.47494845739016,582.5,-54.5,529.5,-54.5
1467918436818,400.6675055888751,582.5,-54.5,375.47494845739016,400.6675055888751,365.8761581384638,550.6037787107493,375.47494845739016,582.5,-54.5,529.5,-54.5
1467918438719,400.6675055888751,582.5,-54.5,375.47494845739016,400.6675055888751,365.8761581384638,550.6037787107493,375.47494845739016,582.5,-54.5,529.5,-54.5
1467918439486,400.6675055888751,582.5,-54.5,375.47494845739016,400.6675055888751,365.8761581384638,550.6037787107493,375.47494845739016,582.5,-54.5,529.5,-54.5
1467918460603,400.6675055888751,582.5,-54.5,375.47494845739016,400.6675055888751,365.8761581384638,550.6037787107493,375.47494845739016,582.5,-54.5,529.5,-54.5
1467918463907,400.6675055888751,582.5,-54.5,375.47494845739016,400.6675055888751,365.8761581384638,550.6037787107493,375.47494845739016,582.5,-54.5,529.5,-54.5
1467918465309,400.6675055888751,582.5,-54.5,375.47494845739016,400.6675055888751,365.8761581384638,550.6037787107493,375.47494845739016,582.5,-54.5,529.5,-54.5
1467918467372,400.6675055888751,587.6077513002724,-54.5,430.6006352670839,400.6675055888751,365.8761581384638,587.6077513002724,430.6006352670839,582.5,-54.5,529.5,-54.5
1467918470733,400.6675055888751,587.6077513002724,-54.5,430.6006352670839,400.6675055888751,365.8761581384638,587.6077513002724,430.6006352670839,582.5,-54.5,529.5,-54.5
1467918473965,400.6675055888751,587.6077513002724,-54.5,430.6006352670839,400.6675055888751,365.8761581384638,587.6077513002724,430.6006352670839,582.5,-54.5,529.5,-54.5
1467918482771,400.6675055888751,587.6077513002724,-54.5,430.6006352670839,400.6675055888751,365.8761581384638,587.6077513002724,430.6006352670839,582.5,-54.5,529.5,-54.5
1467918488874,400.6675055888751,587.6077513002724,-54.5,430.6006352670839,400.6675055888751,365.8761581384638,587.6077513002724,430.6006352670839,582.5,-54.5,529.5,-54.5
1467918495778,400.6675055888751,587.6077513002724,-54.5,430.6006352670839,400.6675055888751,365.8761581384638,587.6077513002724,430.6006352670839,582.5,-54.5,529.5,-54.5
1467918496340,400.6675055888751,587.6077513002724,-54.5,430.6006352670839,400.6675055888751,365.8761581384638,587.6077513002724,430.6006352670839,582.5,-54.5,529.5,-54.5
1467918497940,400.6675055888751,587.6077513002724,-54.5,430.6006352670839,400.6675055888751,365.8761581384638,587.6077513002724,430.6006352670839,582.5,-54.5,529.5,-54.5
1467918501546,400.6675055888751,587.6077513002724,-54.5,430.6006352670839,400.6675055888751,365.8761581384638,587.6077513002724,430.6006352670839,582.5,-54.5,529.5,-54.5
1467918512851,400.6675055888751,587.6077513002724,-54.5,430.6006352670839,400.6675055888751,365.8761581384638,587.6077513002724,430.6006352670839,582.5,-54.5,529.5,-54.5
1467918529262,400.6675055888751,587.6077513002724,-54.5,430.6006352670839,400.6675055888751,365.8761581384638,587.6077513002724,430.6006352670839,582.5,-54.5,529.5,-54.5
1467918539170,400.871404399552,587.6077513002724,-54.5,430.6006352670839,400.871404399552,365.40650203575217,587.6077513002724,430.6006352670839,582.5,-54.5,529.5,-54.5
1467918539476,400.871404399552,587.6077513002724,-54.5,430.6006352670839,400.871404399552,365.40650203575217,587.6077513002724,430.6006352670839,582.5,-54.5,529.5,-54.5
1467918541379,400.871404399552,587.6077513002724,-54.5,430.6006352670839,400.871404399552,365.40650203575217,587.6077513002724,430.6006352670839,582.5,-54.5,529.5,-54.5
1467918544983,400.871404399552,587.6077513002724,-54.5,430.6006352670839,400.871404399552,365.40650203575217,587.6077513002724,430.6006352670839,582.5,-54.5,529.5,-54.5
1467918546686,400.871404399552,587.6077513002724,-54.5,430.6006352670839,400.871404399552,365.40650203575217,587.6077513002724,430.6006352670839,582.5,-54.5,529.5,-54.5
1467918555592,400.871404399552,587.6077513002724,-54.5,430.6006352670839,400.871404399552,365.40650203575217,587.6077513002724,430.6006352670839,582.5,-54.5,529.5,-54.5
1467918567000,400.871404399552,587.6077513002724,-54.5,430.6006352670839,400.871404399552,365.40650203575217,587.6077513002724,430.6006352670839,582.5,-54.5,529.5,-54.5
1467918567604,400.871404399552,587.6077513002724,-54.5,430.6006352670839,400.871404399552,365.40650203575217,587.6077513002724,430.6006352670839,582.5,-54.5,529.5,-54.5
1467918576111,400.871404399552,587.6077513002724,-54.5,430.6006352670839,400.871404399552,365.40650203575217,587.6077513002724,430.6006352670839,582.5,-54.5,529.5,-54.5
1467918582120,400.871404399552,587.6077513002724,-54.5,430.6006352670839,400.871404399552,365.40650203575217,587.6077513002724,430.6006352670839,582.5,-54.5,529.5,-54.5
1467918582446,400.871404399552,587.6077513002724,-54.5,430.6006352670839,400.871404399552,365.40650203575217,587.6077513002724,430.6006352670839,582.5,-54.5,529.5,-54.5
1467918588452,400.871404399552,587.6077513002724,-54.5,430.6006352670839,400.871404399552,365.40650203575217,587.6077513002724,430.6006352670839,582.5,-54.5,529.5,-54.5
1467918604161,400.871404399552,587.6077513002724,-54.5,430.6006352670839,400.871404399552,365.40650203575217,587.6077513002724,430.6006352670839,582.5,-54.5,529.5,-54.5
1467918605862,400.871404399552,587.6077513002724,-54.5,430.6006352670839,400.871404399552,365.40650203575217,587.6077513002724,430.6006352670839,582.5,-54.5,529.5,-54.5
1467918606086,400.871404399552,587.6077513002724,-54.5,430.6006352670839,400.871404399552,365.40650203575217,587.6077513002724,430.6006352670839,582.5,-54.5,529.5,-54.5
1467918612192,400.871404399552,582.5,-54.5,415.05900516058745,400.871404399552,365.40650203575217,521.850499633795,415.05900516058745,582.5,-54.5,529.5,-54.5
1467918614994,400.871404399552,582.5,-54.5,415.05900516058745,400.871404399552,365.40650203575217,521.850499633795,415.05900516058745,582.5,-54.5,529.5,-54.5
1467918617195,400.871404399552,582.5,-54.5,415.05900516058745,400.871404399552,365.40650203575217,521.850499633795,415.05900516058745,582.5,-54.5,529.5,-54.5
1467918617696,400.871404399552,582.5,-54.5,415.05900516058745,400.871404399552,365.40650203575217,521.850499633795,415.05900516058745,582.5,-54.5,529.5,-54.5
1467918626563,400.871404399552,582.5,-54.5,742.9574729942789,400.871404399552,365.40650203575217,577.0242410496893,742.9574729942789,582.5,-54.5,529.5,-54.5
1467918641274,400.871404399552,582.5,-54.5,742.9574729942789,400.871404399552,365.40650203575217,577.0242410496893,742.9574729942789,582.5,-54.5,529.5,-54.5
1467918645076,400.871404399552,582.5,-54.5,742.9574729942789,400.871404399552,365.40650203575217,577.0242410496893,742.9574729942789,582.5,-54.5,529.5,-54.5
1467918650079,400.871404399552,582.5,-54.5,742.9574729942789,400.871404399552,365.40650203575217,577.0242410496893,742.9574729942789,582.5,-54.5,529.5,-54.5
1467918667733,-62.67644615130229,582.5,-54.5,530.8843620067742,400.871404399552,365.40650203575217,-62.67644615130229,530.8843620067742,582.5,-54.5,529.5,-54.5
