time,minx,maxx,miny,maxy,G1x,G1y,G2x,G2y,HAx,HAy,HOx,HOy
1390573405017,529.5,688.5,-54.5,0,635.5,-54.5,688.5,-54.5,582.5,-54.5,529.5,-54.5
1390573406018,529.5,688.5,-54.5,0,635.5,-54.5,688.5,-54.5,582.5,-54.5,529.5,-54.5
1390573418552,159.3842271831818,582.5,-54.5,96.0748607236892,159.3842271831818,96.0748607236892,208.96426111363704,80.39620531402772,582.5,-54.5,529.5,-54.5
1390573428579,389.1643594190952,582.5,-54.5,395.5,423.5,395.5,389.1643594190952,356.44793493425834,582.5,-54.5,529.5,-54.5
1390573429579,389.1643594190952,582.5,-54.5,395.5,423.5,395.5,389.1643594190952,356.44793493425834,582.5,-54.5,529.5,-54.5
1390573431782,317.5,582.5,-54.5,405.5,423.5,395.5,317.5,405.5,582.5,-54.5,529.5,-54.5
1390573432635,317.5,582.5,-54.5,405.5,423.5,395.5,317.5,405.5,582.5,-54.5,529.5,-54.5
1390573440335,317.5,582.5,-54.5,405.5,423.5,395.5,317.5,405.5,582.5,-54.5,529.5,-54.5
1390573444438,317.5,582.5,-54.5,405.5,423.5,395.5,317.5,405.5,582.5,-54.5,529.5,-54.5
1390573451738,317.5,582.5,-54.5,405.5,423.5,395.5,317.5,405.5,582.5,-54.5,529.5,-54.5
1390573457138,317.5,582.5,-54.5,405.5,423.5,395.5,317.5,405.5,582.5,-54.5,529.5,-54.5
1390573465862,317.5,582.5,-54.5,705,582.5,705,317.5,405.5,582.5,-54.5,529.5,-54.5
1390573467762,317.5,582.5,-54.5,705,582.5,705,317.5,405.5,582.5,-54.5,529.5,-54.5
1390573473862,317.5,582.5,-54.5,705,582.5,705,317.5,405.5,582.5,-54.5,529.5,-54.5
1390573481363,317.5,582.5,-54.5,705,582.5,705,317.5,405.5,582.5,-54.5,529.5,-54.5
1390573484363,317.5,582.5,-54.5,705,582.5,705,317.5,405.5,582.5,-54.5,529.5,-54.5
1390573487365,317.5,582.5,-54.5,705,582.5,705,317.5,405.5,582.5,-54.5,529.5,-54.5
1390573491565,317.5,582.5,-54.5,705,582.5,705,317.5,405.5,582.5,-54.5,529.5,-54.5
1390573492217,317.5,582.5,-54.5,705,582.5,705,317.5,405.5,582.5,-54.5,529.5,-54.5
1390573502745,250.54656412359327,582.5,-54.5,564,250.54656412359327,447.8524431679398,506,564,582.5,-54.5,529.5,-54.5
1390573505745,250.54656412359327,582.5,-54.5,564,250.54656412359327,447.8524431679398,506,564,582.5,-54.5,529.5,-54.5
1390573508745,250.54656412359327,582.5,-54.5,564,250.54656412359327,447.8524431679398,506,564,582.5,-54.5,529.5,-54.5
