time,minx,maxx,miny,maxy,G1x,G1y,G2x,G2y,HAx,HAy,HOx,HOy,global maxx,1059.5,global miny,0,global minx,-0.5,global maxy,916.5,Xclustering,Yclustering,G1x,G1y,G2x,G2y,HAx,HAy,HOx,HOy,GlobalMinx,GlobalMinY,GlobalMaxX,GlobalMaxY,AllXN/A,AllYN/A,G1/G2,G1/HA,G1/HO,G2/HA,G2/HO,HA/HO,G1onstage,G2onstage,Haonstage,Hoonstage
1.38541E+12,529.5,618.7353278,-54.5,184.25,582.5,184.25,618.7353278,146.9538739,582.5,-54.5,529.5,-54.5,,,,,,,,,0.084184271,0.040694082,582.5,184.25,618.7353278,146.9538739,582.5,n/a,529.5,n/a,529.5,146.9538739,618.7353278,184.25,False,False,0,n/a,n/a,n/a,n/a,n/a,TRUE,TRUE,FALSE,FALSE
1.38541E+12,476.5,618.7353278,-54.5,268.375,476.5,268.375,618.7353278,146.9538739,582.5,-54.5,529.5,-54.5,,,,,,,,,0.134184271,0.132483498,476.5,268.375,618.7353278,146.9538739,582.5,n/a,529.5,n/a,476.5,146.9538739,618.7353278,268.375,False,False,0,n/a,n/a,n/a,n/a,n/a,TRUE,TRUE,FALSE,FALSE
1.38541E+12,476.5,618.7353278,-54.5,268.375,476.5,268.375,618.7353278,146.9538739,582.5,-54.5,529.5,-54.5,,,,,,,,,0.134184271,0.132483498,476.5,268.375,618.7353278,146.9538739,582.5,n/a,529.5,n/a,476.5,146.9538739,618.7353278,268.375,False,False,0,n/a,n/a,n/a,n/a,n/a,TRUE,TRUE,FALSE,FALSE
1.38541E+12,476.5,618.7353278,-54.5,268.375,476.5,268.375,618.7353278,146.9538739,582.5,-54.5,529.5,-54.5,,,,,,,,,0.134184271,0.132483498,476.5,268.375,618.7353278,146.9538739,582.5,n/a,529.5,n/a,476.5,146.9538739,618.7353278,268.375,False,False,0,n/a,n/a,n/a,n/a,n/a,TRUE,TRUE,FALSE,FALSE
1.38541E+12,476.5,618.7353278,-54.5,268.375,476.5,268.375,618.7353278,146.9538739,582.5,-54.5,529.5,-54.5,,,,,,,,,0.134184271,0.132483498,476.5,268.375,618.7353278,146.9538739,582.5,n/a,529.5,n/a,476.5,146.9538739,618.7353278,268.375,False,False,0,n/a,n/a,n/a,n/a,n/a,TRUE,TRUE,FALSE,FALSE
1.38541E+12,476.5,618.7353278,-54.5,268.375,476.5,268.375,618.7353278,146.9538739,582.5,-54.5,529.5,-54.5,,,,,,,,,0.134184271,0.132483498,476.5,268.375,618.7353278,146.9538739,582.5,n/a,529.5,n/a,476.5,146.9538739,618.7353278,268.375,False,False,0,n/a,n/a,n/a,n/a,n/a,TRUE,TRUE,FALSE,FALSE
1.38541E+12,476.5,618.7353278,-54.5,268.375,476.5,268.375,618.7353278,146.9538739,582.5,-54.5,529.5,-54.5,,,,,,,,,0.134184271,0.132483498,476.5,268.375,618.7353278,146.9538739,582.5,n/a,529.5,n/a,476.5,146.9538739,618.7353278,268.375,False,False,0,n/a,n/a,n/a,n/a,n/a,TRUE,TRUE,FALSE,FALSE
1.38541E+12,476.5,618.7353278,-54.5,268.375,476.5,268.375,618.7353278,146.9538739,582.5,-54.5,529.5,-54.5,,,,,,,,,0.134184271,0.132483498,476.5,268.375,618.7353278,146.9538739,582.5,n/a,529.5,n/a,476.5,146.9538739,618.7353278,268.375,False,False,0,n/a,n/a,n/a,n/a,n/a,TRUE,TRUE,FALSE,FALSE
1.38541E+12,476.5,618.7353278,-54.5,268.375,476.5,268.375,618.7353278,146.9538739,582.5,-54.5,529.5,-54.5,,,,,,,,,0.134184271,0.132483498,476.5,268.375,618.7353278,146.9538739,582.5,n/a,529.5,n/a,476.5,146.9538739,618.7353278,268.375,False,False,0,n/a,n/a,n/a,n/a,n/a,TRUE,TRUE,FALSE,FALSE
1.38541E+12,476.5,607.3500056,-54.5,425.0276254,476.5,268.375,607.3500056,425.0276254,582.5,-54.5,529.5,-54.5,,,,,,,,,0.123443401,0.17092485,476.5,268.375,607.3500056,425.0276254,582.5,n/a,529.5,n/a,476.5,268.375,607.3500056,425.0276254,False,False,0,n/a,n/a,n/a,n/a,n/a,TRUE,TRUE,FALSE,FALSE
